mae,rmse,uncertainty_error_corr,exp,group,variant,mask_ratio
0.1485145409714501,0.2623284824614255,0.6438501164026812,ablation_FULL,ablation,FULL,
0.1334031327809177,0.2462506728164804,0.6431775346523828,ablation_FULL_GRAPH,ablation,FULL_GRAPH,
0.1485145409714501,0.2623284824614255,0.6438501164026812,ablation_NO_GRAPH,ablation,NO_GRAPH,
0.1520922840485033,0.2648388199836203,0.6354938736440134,ablation_NO_RECON,ablation,NO_RECON,
0.1588387487444487,0.2695256734044297,-0.182191289982658,ablation_NO_UNCERTAINTY,ablation,NO_UNCERTAINTY,
0.158389557363852,0.2674913116783466,0.0042148440328034,ablation_VANILLA,ablation,VANILLA,
0.1485145409714501,0.2623284824614255,0.6438501164026812,mask_0.1,mask,,0.1
0.1570550446990151,0.2713201075979748,0.6363583289853934,mask_0.3,mask,,0.3
0.1676756579827212,0.280854452987137,0.6179624976125195,mask_0.5,mask,,0.5
0.1866007526903032,0.303131509595697,0.60551463845329,mask_0.7,mask,,0.7
