env_name,seed,meta_file,pt_file,completed_episodes,target_episodes,done,status,eval_mean,best_eval_mean,last_reward,elapsed_sec,global_step,pt_size_mb,pt_top_keys,pt_score_candidates,pt_error
FULL_EU0,0,FULL_EU0_seed0_meta.json,FULL_EU0_seed0_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU0,1,FULL_EU0_seed1_meta.json,FULL_EU0_seed1_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU0,2,FULL_EU0_seed2_meta.json,FULL_EU0_seed2_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU0,3,FULL_EU0_seed3_meta.json,FULL_EU0_seed3_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU0,4,FULL_EU0_seed4_meta.json,FULL_EU0_seed4_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU1,0,FULL_EU1_seed0_meta.json,FULL_EU1_seed0_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU1,1,FULL_EU1_seed1_meta.json,FULL_EU1_seed1_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU1,2,FULL_EU1_seed2_meta.json,FULL_EU1_seed2_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU1,3,FULL_EU1_seed3_meta.json,FULL_EU1_seed3_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU1,4,FULL_EU1_seed4_meta.json,FULL_EU1_seed4_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU2,0,FULL_EU2_seed0_meta.json,FULL_EU2_seed0_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU2,1,FULL_EU2_seed1_meta.json,FULL_EU2_seed1_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
FULL_EU2,2,FULL_EU2_seed2_meta.json,FULL_EU2_seed2_latest.pt,,,,finished,,,,,,8.88,"epoch, policy, value, optim, value_optim, anchor_policy, baseline, ep_rewards, collapse_count, spike_count","{""ep_rewards"": ""<list>""}",
