_station_id,_station_name,image_only,naive_multimodal,structured_multimodal,tabular_only,score_mean_across_conditions,score_std_across_conditions,score_range_across_conditions
211,성수,2.0,5.0,5.0,5.0,4.25,1.5,3.0
318,안국,1.0,2.0,4.0,4.0,2.75,1.5,3.0
152,종각,1.0,2.0,4.0,4.0,2.75,1.5,3.0
249,신정네거리,2.0,5.0,5.0,5.0,4.25,1.5,3.0
314,홍제,2.0,5.0,5.0,5.0,4.25,1.5,3.0
221,역삼,2.0,4.0,5.0,5.0,4.0,1.4142135623730951,3.0
2824,단대오거리,2.0,4.0,5.0,5.0,4.0,1.4142135623730951,3.0
2519,까치산,2.0,5.0,5.0,4.0,4.0,1.4142135623730951,3.0
424,명동,2.0,4.0,5.0,5.0,4.0,1.4142135623730951,3.0
248,양천구청,2.0,4.0,5.0,5.0,4.0,1.4142135623730951,3.0
2561,마천,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
326,압구정,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
327,신사,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
310,구파발,2.0,4.0,5.0,4.0,3.75,1.2583057392117916,3.0
313,녹번,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
341,경찰병원,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
2735,반포,4.0,2.0,2.0,1.0,2.25,1.2583057392117916,3.0
231,신대방,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
331,남부터미널(예술의전당),2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
420,혜화,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
333,매봉,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
202,을지로입구,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
154,종로5가,2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
151,시청,2.0,1.0,2.0,4.0,2.25,1.2583057392117916,3.0
414,수유(강북구청),2.0,4.0,4.0,5.0,3.75,1.2583057392117916,3.0
159,동묘앞,2.0,2.0,4.0,4.0,3.0,1.1547005383792515,2.0
239,홍대입구,2.0,4.0,2.0,4.0,3.0,1.1547005383792515,2.0
