_station_id,_station_name,structured_multimodal,tabular_only,score_mean_across_conditions,score_std_across_conditions,score_range_across_conditions
4103,공항시장,1.0,5.0,3.0,2.8284271247461903,4.0
4712,보문,1.0,4.0,2.5,2.1213203435596424,3.0
2712,도봉산,2.0,5.0,3.5,2.1213203435596424,3.0
4701,북한산우이,2.0,5.0,3.5,2.1213203435596424,3.0
4101,개화,2.0,4.0,3.0,1.4142135623730951,2.0
2513,김포공항,1.0,3.0,2.0,1.4142135623730951,2.0
2524,영등포구청,2.0,4.0,3.0,1.4142135623730951,2.0
2545,군자(능동),1.0,3.0,2.0,1.4142135623730951,2.0
2556,올림픽공원(한국체대),1.0,3.0,2.0,1.4142135623730951,2.0
2816,석촌,2.0,4.0,3.0,1.4142135623730951,2.0
2827,모란,2.0,4.0,3.0,1.4142135623730951,2.0
2614,독바위,2.0,4.0,3.0,1.4142135623730951,2.0
2630,녹사평(용산구청),2.0,4.0,3.0,1.4142135623730951,2.0
2635,청구,2.0,4.0,3.0,1.4142135623730951,2.0
2638,창신,2.0,4.0,3.0,1.4142135623730951,2.0
2715,노원,1.0,3.0,2.0,1.4142135623730951,2.0
4137,둔촌오륜,2.0,4.0,3.0,1.4142135623730951,2.0
218,종합운동장,1.0,3.0,2.0,1.4142135623730951,2.0
245,신답,2.0,4.0,3.0,1.4142135623730951,2.0
4135,한성백제,2.0,4.0,3.0,1.4142135623730951,2.0
4133,석촌,1.0,3.0,2.0,1.4142135623730951,2.0
2735,반포,1.0,3.0,2.0,1.4142135623730951,2.0
4706,삼양,2.0,4.0,3.0,1.4142135623730951,2.0
2744,보라매,2.0,1.0,1.5,0.7071067811865476,1.0
2711,장암,3.0,4.0,3.5,0.7071067811865476,1.0
2648,봉화산(서울의료원),2.0,3.0,2.5,0.7071067811865476,1.0
2646,태릉입구,1.0,2.0,1.5,0.7071067811865476,1.0
2727,군자(능동),2.0,3.0,2.5,0.7071067811865476,1.0
2637,동묘앞,1.0,2.0,1.5,0.7071067811865476,1.0
2636,신당,2.0,3.0,2.5,0.7071067811865476,1.0
2732,강남구청,2.0,1.0,1.5,0.7071067811865476,1.0
2634,약수,2.0,3.0,2.5,0.7071067811865476,1.0
2633,버티고개,3.0,4.0,3.5,0.7071067811865476,1.0
2629,삼각지,1.0,2.0,1.5,0.7071067811865476,1.0
2759,삼산체육관,3.0,4.0,3.5,0.7071067811865476,1.0
2753,까치울,2.0,3.0,2.5,0.7071067811865476,1.0
2752,온수(성공회대입구),2.0,3.0,2.5,0.7071067811865476,1.0
2751,천왕,2.0,3.0,2.5,0.7071067811865476,1.0
433,사당,1.0,2.0,1.5,0.7071067811865476,1.0
4117,노량진,2.0,3.0,2.5,0.7071067811865476,1.0
4116,샛강,2.0,3.0,2.5,0.7071067811865476,1.0
4702,솔밭공원,2.0,3.0,2.5,0.7071067811865476,1.0
4708,솔샘,3.0,4.0,3.5,0.7071067811865476,1.0
423,충무로,1.0,2.0,1.5,0.7071067811865476,1.0
4120,동작(현충원),1.0,2.0,1.5,0.7071067811865476,1.0
4136,올림픽공원(한국체대),2.0,3.0,2.5,0.7071067811865476,1.0
434,남태령,2.0,3.0,2.5,0.7071067811865476,1.0
429,신용산,1.0,2.0,1.5,0.7071067811865476,1.0
155,동대문,3.0,2.0,2.5,0.7071067811865476,1.0
151,시청,2.0,1.0,1.5,0.7071067811865476,1.0
150,서울역,1.0,2.0,1.5,0.7071067811865476,1.0
4713,신설동,3.0,4.0,3.5,0.7071067811865476,1.0
201,시청,2.0,1.0,1.5,0.7071067811865476,1.0
4711,성신여대입구(돈암),5.0,4.0,4.5,0.7071067811865476,1.0
2722,상봉(시외버스터미널),2.0,1.0,1.5,0.7071067811865476,1.0
2721,중화,2.0,3.0,2.5,0.7071067811865476,1.0
2720,먹골,3.0,4.0,3.5,0.7071067811865476,1.0
159,동묘앞,2.0,3.0,2.5,0.7071067811865476,1.0
321,충무로,3.0,4.0,3.5,0.7071067811865476,1.0
320,을지로3가,1.0,2.0,1.5,0.7071067811865476,1.0
319,종로3가,1.0,2.0,1.5,0.7071067811865476,1.0
316,독립문,3.0,2.0,2.5,0.7071067811865476,1.0
312,불광,1.0,2.0,1.5,0.7071067811865476,1.0
309,지축,3.0,4.0,3.5,0.7071067811865476,1.0
336,학여울,3.0,4.0,3.5,0.7071067811865476,1.0
337,대청,2.0,3.0,2.5,0.7071067811865476,1.0
2738,이수,1.0,2.0,1.5,0.7071067811865476,1.0
330,교대(법원.검찰청),3.0,2.0,2.5,0.7071067811865476,1.0
325,옥수,2.0,3.0,2.5,0.7071067811865476,1.0
324,금호,2.0,3.0,2.5,0.7071067811865476,1.0
323,약수,1.0,2.0,1.5,0.7071067811865476,1.0
237,당산,2.0,1.0,1.5,0.7071067811865476,1.0
339,수서,1.0,2.0,1.5,0.7071067811865476,1.0
409,불암산,2.0,3.0,2.5,0.7071067811865476,1.0
342,오금,1.0,2.0,1.5,0.7071067811865476,1.0
244,용답,3.0,4.0,3.5,0.7071067811865476,1.0
2736,고속터미널,2.0,3.0,2.5,0.7071067811865476,1.0
2623,합정,1.0,2.0,1.5,0.7071067811865476,1.0
2620,월드컵경기장(성산),2.0,3.0,2.5,0.7071067811865476,1.0
2619,디지털미디어시티,1.0,2.0,1.5,0.7071067811865476,1.0
4703,4.19민주묘지,3.0,4.0,3.5,0.7071067811865476,1.0
2613,불광,3.0,4.0,3.5,0.7071067811865476,1.0
4705,화계,4.0,5.0,4.5,0.7071067811865476,1.0
2822,산성,2.0,3.0,2.5,0.7071067811865476,1.0
2526,신길,2.0,3.0,2.5,0.7071067811865476,1.0
2814,몽촌토성(평화의문),3.0,4.0,3.5,0.7071067811865476,1.0
2761,부평구청,3.0,2.0,2.5,0.7071067811865476,1.0
4707,삼양사거리,3.0,4.0,3.5,0.7071067811865476,1.0
4121,구반포,3.0,4.0,3.5,0.7071067811865476,1.0
2541,왕십리(성동구청),2.0,3.0,2.5,0.7071067811865476,1.0
2532,충정로(경기대입구),3.0,4.0,3.5,0.7071067811865476,1.0
2530,공덕,2.0,3.0,2.5,0.7071067811865476,1.0
2527,여의도,2.0,1.0,1.5,0.7071067811865476,1.0
2818,가락시장,2.0,3.0,2.5,0.7071067811865476,1.0
431,동작(현충원),2.0,2.0,2.0,0.0,0.0
153,종로3가,2.0,2.0,2.0,0.0,0.0
226,사당,1.0,1.0,1.0,0.0,0.0
418,성신여대입구(돈암),2.0,2.0,2.0,0.0,0.0
421,동대문,2.0,2.0,2.0,0.0,0.0
422,동대문역사문화공원,1.0,1.0,1.0,0.0,0.0
426,서울역,3.0,3.0,3.0,0.0,0.0
203,을지로3가,2.0,2.0,2.0,0.0,0.0
204,을지로4가,2.0,2.0,2.0,0.0,0.0
205,동대문역사문화공원,2.0,2.0,2.0,0.0,0.0
2627,공덕,1.0,1.0,1.0,0.0,0.0
2628,효창공원앞,3.0,3.0,3.0,0.0,0.0
2760,굴포천,2.0,2.0,2.0,0.0,0.0
2812,천호(풍납토성),2.0,2.0,2.0,0.0,0.0
2535,종로3가,2.0,2.0,2.0,0.0,0.0
2536,을지로4가,2.0,2.0,2.0,0.0,0.0
2538,청구,1.0,1.0,1.0,0.0,0.0
2542,마장,2.0,2.0,2.0,0.0,0.0
2558,오금,3.0,3.0,3.0,0.0,0.0
2514,송정,3.0,3.0,3.0,0.0,0.0
2520,신정(은행정),2.0,2.0,2.0,0.0,0.0
2531,애오개,3.0,3.0,3.0,0.0,0.0
311,연신내,2.0,2.0,2.0,0.0,0.0
322,동대입구,3.0,3.0,3.0,0.0,0.0
243,충정로(경기대입구),1.0,1.0,1.0,0.0,0.0
246,신설동,3.0,3.0,3.0,0.0,0.0
250,용두(동대문구청),4.0,4.0,4.0,0.0,0.0
2511,방화,3.0,3.0,3.0,0.0,0.0
2512,개화산,3.0,3.0,3.0,0.0,0.0
328,잠원,3.0,3.0,3.0,0.0,0.0
329,고속터미널,2.0,2.0,2.0,0.0,0.0
332,양재(서초구청),2.0,2.0,2.0,0.0,0.0
334,도곡,3.0,3.0,3.0,0.0,0.0
230,신림,1.0,1.0,1.0,0.0,0.0
233,대림(구로구청),2.0,2.0,2.0,0.0,0.0
234,신도림,1.0,1.0,1.0,0.0,0.0
236,영등포구청,2.0,2.0,2.0,0.0,0.0
238,합정,2.0,2.0,2.0,0.0,0.0
239,홍대입구,2.0,2.0,2.0,0.0,0.0
241,이대,2.0,2.0,2.0,0.0,0.0
340,가락시장,2.0,2.0,2.0,0.0,0.0
4102,김포공항,1.0,1.0,1.0,0.0,0.0
4105,마곡나루,3.0,3.0,3.0,0.0,0.0
4127,선정릉,1.0,1.0,1.0,0.0,0.0
214,강변(동서울터미널),2.0,2.0,2.0,0.0,0.0
216,잠실(송파구청),1.0,1.0,1.0,0.0,0.0
219,삼성(무역센터),2.0,2.0,2.0,0.0,0.0
220,선릉,2.0,2.0,2.0,0.0,0.0
222,강남,1.0,1.0,1.0,0.0,0.0
224,서초,2.0,2.0,2.0,0.0,0.0
206,신당,3.0,3.0,3.0,0.0,0.0
208,왕십리(성동구청),2.0,2.0,2.0,0.0,0.0
209,한양대,3.0,3.0,3.0,0.0,0.0
210,뚝섬,2.0,2.0,2.0,0.0,0.0
212,건대입구,2.0,2.0,2.0,0.0,0.0
427,숙대입구(갈월),2.0,2.0,2.0,0.0,0.0
430,이촌(국립중앙박물관),2.0,2.0,2.0,0.0,0.0
156,신설동,2.0,2.0,2.0,0.0,0.0
157,제기동,2.0,2.0,2.0,0.0,0.0
2719,태릉입구,2.0,2.0,2.0,0.0,0.0
2639,보문,2.0,2.0,2.0,0.0,0.0
2643,상월곡(한국과학기술연구원),3.0,3.0,3.0,0.0,0.0
2645,석계,2.0,2.0,2.0,0.0,0.0
2713,수락산,3.0,3.0,3.0,0.0,0.0
2754,부천종합운동장,1.0,1.0,1.0,0.0,0.0
2625,광흥창(서강),2.0,2.0,2.0,0.0,0.0
4104,신방화,3.0,,3.0,,0.0
