setting,n_features,silhouette
visual_pca2_only_ev0.17,2,0.41836401369481674
visual_pca4_only_ev0.24,4,0.25585812290910875
mobility_only,42,0.19357483008121754
mobility_visual_pca2,44,0.18609160013694856
mobility_visual_pca2_alpha0.1,44,0.18609160013694856
mobility_visual_pca2_alpha0.05,44,0.18609160013694856
mobility_visual_pca2_alpha0.03,44,0.18609160013694856
mobility_visual_pca2_alpha0.01,44,0.18609160013694856
mobility_visual_pca2_alpha2.0,44,0.18609160013694856
mobility_visual_pca2_alpha1.0,44,0.18609160013694856
mobility_visual_pca2_alpha0.5,44,0.18609160013694856
mobility_visual_pca2_alpha0.25,44,0.18609160013694856
mobility_visual_pca4_alpha0.03,46,0.16620781044299177
mobility_visual_pca4_alpha0.01,46,0.16620781044299177
mobility_visual_pca4,46,0.16620781044299174
mobility_visual_pca4_alpha0.05,46,0.16620781044299174
mobility_visual_pca4_alpha0.25,46,0.16620781044299174
mobility_visual_pca4_alpha0.5,46,0.16620781044299174
mobility_visual_pca4_alpha1.0,46,0.16620781044299174
mobility_visual_pca4_alpha0.1,46,0.16620781044299174
mobility_visual_pca4_alpha2.0,46,0.16620781044299174
visual_pca8_only_ev0.35,8,0.15553560702048316
mobility_visual_pca8,50,0.15509948752669506
mobility_visual_pca8_alpha0.01,50,0.15509948752669506
mobility_visual_pca8_alpha2.0,50,0.15509948752669506
mobility_visual_pca8_alpha1.0,50,0.15509948752669506
mobility_visual_pca8_alpha0.5,50,0.15509948752669506
mobility_visual_pca8_alpha0.25,50,0.15509948752669506
mobility_visual_pca8_alpha0.1,50,0.15509948752669506
mobility_visual_pca8_alpha0.05,50,0.15509948752669506
mobility_visual_pca8_alpha0.03,50,0.15509948752669506
mobility_visual_pca16,58,0.09862211129944966
mobility_visual_pca16_alpha0.01,58,0.09862211129944966
mobility_visual_pca16_alpha1.0,58,0.09862211129944966
mobility_visual_pca16_alpha0.5,58,0.09862211129944966
mobility_visual_pca16_alpha0.25,58,0.09862211129944966
mobility_visual_pca16_alpha2.0,58,0.09862211129944966
mobility_visual_pca16_alpha0.05,58,0.09862211129944964
mobility_visual_pca16_alpha0.1,58,0.09862211129944964
mobility_visual_pca16_alpha0.03,58,0.09862211129944962
mobility_visual_pca32_alpha0.03,74,0.07637419847944082
mobility_visual_pca32_alpha0.05,74,0.07637419847944082
mobility_visual_pca32_alpha0.1,74,0.07637419847944082
mobility_visual_pca32,74,0.07637419847944082
mobility_visual_pca32_alpha0.25,74,0.07637419847944081
mobility_visual_pca32_alpha0.5,74,0.07637419847944081
mobility_visual_pca32_alpha1.0,74,0.07637419847944081
mobility_visual_pca32_alpha0.01,74,0.07637419847944081
mobility_visual_pca32_alpha2.0,74,0.07637419847944081
visual_pca16_only_ev0.48,16,0.07495741051559132
mobility_visual_pca64_alpha0.01,106,0.04463665349015485
mobility_visual_pca64_alpha0.03,106,0.044636653490154846
mobility_visual_pca64_alpha0.25,106,0.04463665349015484
mobility_visual_pca64,106,0.04463665349015484
mobility_visual_pca64_alpha0.05,106,0.04463665349015484
mobility_visual_pca64_alpha0.1,106,0.04463665349015484
mobility_visual_pca64_alpha1.0,106,0.04463665349015484
mobility_visual_pca64_alpha0.5,106,0.04463665349015484
mobility_visual_pca64_alpha2.0,106,0.04463665349015484
visual_raw_only,1536,0.04267664625816343
visual_pca32_only_ev0.63,32,0.02913087050510463
mobility_visual_pca128,170,0.015221208071144913
visual_pca64_only_ev0.78,64,0.01422639586043132
visual_pca128_only_ev0.91,128,-0.002396364799653291
