setting_a,setting_b,ARI,NMI
mobility_visual_pca64_alpha0.01,mobility_visual_pca64_alpha0.25,1.0,1.0
mobility_visual_pca64_alpha0.03,mobility_visual_pca64_alpha0.25,1.0,1.0
mobility_visual_pca2_alpha0.03,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca2_alpha0.03,mobility_visual_pca2_alpha0.05,1.0,1.0
mobility_visual_pca2_alpha0.03,mobility_visual_pca2_alpha0.1,1.0,1.0
mobility_visual_pca2_alpha0.03,mobility_visual_pca2_alpha0.25,1.0,1.0
mobility_visual_pca2_alpha0.03,mobility_visual_pca2_alpha0.5,1.0,1.0
mobility_visual_pca2_alpha0.03,mobility_visual_pca2_alpha1.0,1.0,1.0
mobility_visual_pca2_alpha0.05,mobility_visual_pca2_alpha0.25,1.0,1.0
mobility_visual_pca2_alpha0.05,mobility_visual_pca2_alpha0.5,1.0,1.0
mobility_visual_pca2_alpha0.05,mobility_visual_pca2_alpha1.0,1.0,1.0
mobility_visual_pca2_alpha0.05,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca16_alpha0.25,mobility_visual_pca16_alpha0.5,1.0,1.0
mobility_visual_pca16_alpha0.25,mobility_visual_pca16_alpha1.0,1.0,1.0
mobility_visual_pca16_alpha0.25,mobility_visual_pca16_alpha2.0,1.0,1.0
mobility_visual_pca2_alpha0.05,mobility_visual_pca2_alpha0.1,1.0,1.0
mobility_visual_pca8_alpha0.1,mobility_visual_pca8_alpha1.0,1.0,1.0
mobility_visual_pca8_alpha0.1,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca8_alpha0.05,mobility_visual_pca8_alpha1.0,1.0,1.0
mobility_visual_pca8_alpha0.05,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca8_alpha0.05,mobility_visual_pca8_alpha0.1,1.0,1.0
mobility_visual_pca8_alpha0.05,mobility_visual_pca8_alpha0.25,1.0,1.0
mobility_visual_pca4_alpha0.1,mobility_visual_pca4_alpha0.25,1.0,1.0
mobility_visual_pca4_alpha0.1,mobility_visual_pca4_alpha0.5,1.0,1.0
mobility_visual_pca8_alpha0.05,mobility_visual_pca8_alpha0.5,1.0,1.0
mobility_visual_pca8_alpha0.03,mobility_visual_pca8_alpha0.1,1.0,1.0
mobility_visual_pca8_alpha0.03,mobility_visual_pca8_alpha0.25,1.0,1.0
mobility_visual_pca8_alpha0.03,mobility_visual_pca8_alpha0.5,1.0,1.0
mobility_visual_pca8_alpha0.03,mobility_visual_pca8_alpha1.0,1.0,1.0
mobility_visual_pca8_alpha0.03,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca8_alpha0.1,mobility_visual_pca8_alpha0.25,1.0,1.0
mobility_visual_pca8_alpha0.1,mobility_visual_pca8_alpha0.5,1.0,1.0
mobility_visual_pca8_alpha0.01,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.25,mobility_visual_pca4_alpha0.5,1.0,1.0
mobility_visual_pca4_alpha0.25,mobility_visual_pca4_alpha1.0,1.0,1.0
mobility_visual_pca4_alpha0.25,mobility_visual_pca4_alpha2.0,1.0,1.0
mobility_visual_pca8_alpha0.03,mobility_visual_pca8_alpha0.05,1.0,1.0
mobility_visual_pca8_alpha0.01,mobility_visual_pca8_alpha0.03,1.0,1.0
mobility_visual_pca8_alpha0.01,mobility_visual_pca8_alpha0.05,1.0,1.0
mobility_visual_pca8_alpha0.01,mobility_visual_pca8_alpha0.1,1.0,1.0
mobility_visual_pca4_alpha1.0,mobility_visual_pca4_alpha2.0,1.0,1.0
mobility_visual_pca8_alpha0.01,mobility_visual_pca8_alpha0.25,1.0,1.0
mobility_visual_pca8_alpha0.01,mobility_visual_pca8_alpha0.5,1.0,1.0
mobility_visual_pca8_alpha0.01,mobility_visual_pca8_alpha1.0,1.0,1.0
mobility_visual_pca8_alpha0.25,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.05,mobility_visual_pca4_alpha0.1,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha0.1,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha0.25,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha0.5,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha1.0,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.1,mobility_visual_pca4_alpha1.0,1.0,1.0
mobility_visual_pca4_alpha0.1,mobility_visual_pca4_alpha2.0,1.0,1.0
mobility_visual_pca8_alpha0.25,mobility_visual_pca8_alpha0.5,1.0,1.0
mobility_visual_pca8_alpha0.25,mobility_visual_pca8_alpha1.0,1.0,1.0
mobility_visual_pca8_alpha1.0,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca8_alpha0.5,mobility_visual_pca8_alpha1.0,1.0,1.0
mobility_visual_pca8_alpha0.5,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha0.01,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha0.01,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha0.03,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha0.05,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha0.1,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha0.25,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha0.5,1.0,1.0
mobility_visual_pca2,mobility_visual_pca2_alpha1.0,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha0.03,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha0.05,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha0.1,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha0.25,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha0.5,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha1.0,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha2.0,1.0,1.0
mobility_visual_pca4,mobility_visual_pca4_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.03,mobility_visual_pca4_alpha0.1,1.0,1.0
mobility_visual_pca4_alpha0.03,mobility_visual_pca4_alpha0.25,1.0,1.0
mobility_visual_pca4_alpha0.03,mobility_visual_pca4_alpha0.5,1.0,1.0
mobility_visual_pca16_alpha0.01,mobility_visual_pca16_alpha0.25,1.0,1.0
mobility_visual_pca16_alpha0.01,mobility_visual_pca16_alpha0.5,1.0,1.0
mobility_visual_pca16_alpha0.01,mobility_visual_pca16_alpha1.0,1.0,1.0
mobility_visual_pca16_alpha0.01,mobility_visual_pca16_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.03,mobility_visual_pca4_alpha0.05,1.0,1.0
mobility_visual_pca16_alpha0.01,mobility_visual_pca16_alpha0.03,1.0,1.0
mobility_visual_pca16_alpha0.01,mobility_visual_pca16_alpha0.05,1.0,1.0
mobility_visual_pca16_alpha0.01,mobility_visual_pca16_alpha0.1,1.0,1.0
mobility_visual_pca32_alpha0.5,mobility_visual_pca32_alpha1.0,1.0,1.0
mobility_visual_pca32_alpha0.5,mobility_visual_pca32_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.05,mobility_visual_pca4_alpha0.25,1.0,1.0
mobility_visual_pca4_alpha0.05,mobility_visual_pca4_alpha0.5,1.0,1.0
mobility_visual_pca4_alpha0.05,mobility_visual_pca4_alpha1.0,1.0,1.0
mobility_visual_pca4_alpha0.05,mobility_visual_pca4_alpha2.0,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha0.01,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha0.03,1.0,1.0
mobility_visual_pca8,mobility_visual_pca8_alpha0.05,1.0,1.0
mobility_visual_pca2_alpha0.01,mobility_visual_pca2_alpha0.5,1.0,1.0
mobility_visual_pca2_alpha0.01,mobility_visual_pca2_alpha1.0,1.0,1.0
mobility_visual_pca16_alpha1.0,mobility_visual_pca16_alpha2.0,1.0,1.0
mobility_visual_pca2_alpha0.01,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca32_alpha0.01,mobility_visual_pca32_alpha0.03,1.0,1.0
mobility_visual_pca32_alpha0.01,mobility_visual_pca32_alpha0.05,1.0,1.0
mobility_visual_pca32_alpha0.01,mobility_visual_pca32_alpha0.1,1.0,1.0
mobility_visual_pca32_alpha0.01,mobility_visual_pca32_alpha1.0,1.0,1.0
mobility_visual_pca32_alpha0.01,mobility_visual_pca32_alpha2.0,1.0,1.0
mobility_visual_pca32_alpha0.01,mobility_visual_pca32_alpha0.25,1.0,1.0
mobility_visual_pca32_alpha0.01,mobility_visual_pca32_alpha0.5,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha0.05,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha0.1,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha0.25,1.0,1.0
mobility_visual_pca32_alpha0.1,mobility_visual_pca32_alpha1.0,1.0,1.0
mobility_visual_pca32_alpha0.1,mobility_visual_pca32_alpha2.0,1.0,1.0
mobility_visual_pca16_alpha0.03,mobility_visual_pca16_alpha0.05,1.0,1.0
mobility_visual_pca16_alpha0.03,mobility_visual_pca16_alpha0.1,1.0,1.0
mobility_visual_pca16_alpha0.03,mobility_visual_pca16_alpha0.25,1.0,1.0
mobility_visual_pca4_alpha0.01,mobility_visual_pca4_alpha2.0,1.0,1.0
mobility_visual_pca16_alpha0.03,mobility_visual_pca16_alpha0.5,1.0,1.0
mobility_visual_pca16_alpha0.03,mobility_visual_pca16_alpha1.0,1.0,1.0
mobility_visual_pca16_alpha0.03,mobility_visual_pca16_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.03,mobility_visual_pca4_alpha1.0,1.0,1.0
mobility_visual_pca4_alpha0.03,mobility_visual_pca4_alpha2.0,1.0,1.0
mobility_visual_pca4_alpha0.01,mobility_visual_pca4_alpha0.03,1.0,1.0
mobility_visual_pca4_alpha0.01,mobility_visual_pca4_alpha0.05,1.0,1.0
mobility_visual_pca4_alpha0.01,mobility_visual_pca4_alpha0.1,1.0,1.0
mobility_visual_pca4_alpha0.01,mobility_visual_pca4_alpha0.25,1.0,1.0
mobility_visual_pca4_alpha0.01,mobility_visual_pca4_alpha0.5,1.0,1.0
mobility_visual_pca4_alpha0.01,mobility_visual_pca4_alpha1.0,1.0,1.0
mobility_visual_pca32,mobility_visual_pca32_alpha2.0,1.0,1.0
mobility_visual_pca32_alpha0.03,mobility_visual_pca32_alpha0.5,1.0,1.0
mobility_visual_pca32_alpha0.03,mobility_visual_pca32_alpha1.0,1.0,1.0
mobility_visual_pca32_alpha0.03,mobility_visual_pca32_alpha2.0,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha2.0,1.0,1.0
mobility_visual_pca32_alpha0.03,mobility_visual_pca32_alpha0.05,1.0,1.0
mobility_visual_pca32_alpha0.03,mobility_visual_pca32_alpha0.1,1.0,1.0
mobility_visual_pca32_alpha0.03,mobility_visual_pca32_alpha0.25,1.0,1.0
mobility_visual_pca2_alpha0.1,mobility_visual_pca2_alpha0.25,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha1.0,1.0,1.0
mobility_visual_pca2_alpha0.5,mobility_visual_pca2_alpha1.0,1.0,1.0
mobility_visual_pca2_alpha0.5,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca2_alpha1.0,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca32_alpha0.25,mobility_visual_pca32_alpha0.5,1.0,1.0
mobility_visual_pca32_alpha0.25,mobility_visual_pca32_alpha1.0,1.0,1.0
mobility_visual_pca32_alpha0.25,mobility_visual_pca32_alpha2.0,1.0,1.0
mobility_visual_pca2_alpha0.25,mobility_visual_pca2_alpha0.5,1.0,1.0
mobility_visual_pca2_alpha0.1,mobility_visual_pca2_alpha0.5,1.0,1.0
mobility_visual_pca2_alpha0.1,mobility_visual_pca2_alpha1.0,1.0,1.0
mobility_visual_pca2_alpha0.1,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca16_alpha0.1,mobility_visual_pca16_alpha0.25,1.0,1.0
mobility_visual_pca16_alpha0.1,mobility_visual_pca16_alpha0.5,1.0,1.0
mobility_visual_pca2_alpha0.25,mobility_visual_pca2_alpha1.0,1.0,1.0
mobility_visual_pca2_alpha0.25,mobility_visual_pca2_alpha2.0,1.0,1.0
mobility_visual_pca16_alpha0.05,mobility_visual_pca16_alpha0.1,1.0,1.0
mobility_visual_pca16_alpha0.05,mobility_visual_pca16_alpha0.25,1.0,1.0
mobility_visual_pca16_alpha0.05,mobility_visual_pca16_alpha0.5,1.0,1.0
mobility_visual_pca16_alpha0.05,mobility_visual_pca16_alpha1.0,1.0,1.0
mobility_visual_pca16_alpha0.05,mobility_visual_pca16_alpha2.0,1.0,1.0
mobility_visual_pca16_alpha0.1,mobility_visual_pca16_alpha1.0,1.0,1.0
mobility_visual_pca16_alpha0.1,mobility_visual_pca16_alpha2.0,1.0,1.0
mobility_visual_pca32_alpha0.05,mobility_visual_pca32_alpha0.1,1.0,1.0
mobility_visual_pca32_alpha0.05,mobility_visual_pca32_alpha0.25,1.0,1.0
mobility_visual_pca32_alpha0.05,mobility_visual_pca32_alpha0.5,1.0,1.0
mobility_visual_pca32_alpha0.05,mobility_visual_pca32_alpha1.0,1.0,1.0
mobility_visual_pca32_alpha0.05,mobility_visual_pca32_alpha2.0,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha0.05,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha0.1,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha0.25,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha0.5,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha1.0,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha2.0,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha0.01,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha0.03,1.0,1.0
mobility_visual_pca32_alpha0.1,mobility_visual_pca32_alpha0.25,1.0,1.0
mobility_visual_pca32_alpha0.1,mobility_visual_pca32_alpha0.5,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha0.01,1.0,1.0
mobility_visual_pca64,mobility_visual_pca64_alpha0.03,1.0,1.0
mobility_visual_pca32,mobility_visual_pca32_alpha0.01,1.0,1.0
mobility_visual_pca32,mobility_visual_pca32_alpha0.03,1.0,1.0
mobility_visual_pca32,mobility_visual_pca32_alpha0.05,1.0,1.0
mobility_visual_pca32,mobility_visual_pca32_alpha0.1,1.0,1.0
mobility_visual_pca16,mobility_visual_pca16_alpha0.5,1.0,1.0
