cluster,station_id,station_name,hidden_type,surrounding_total_flow,subway_total_activity,subway_capture_rate
0,2519,까치산,,368935521.44,261857667,
0,221,역삼,,321518950.32,423543667,
0,232,구로디지털단지,,290029165.87,527334634,
0,211,성수,,271949529.45,328911927,
0,202,을지로입구,,251067436.83,417701659,
0,413,쌍문,,239649333.77,283088037,
0,239,홍대입구,,232294290.37,599957152,
0,2522,오목교(목동운동장앞),,204464706.26,217591617,
0,414,수유(강북구청),,203488513.32,343369007,
0,327,신사,,202507190.72,269188254,
1,2824,단대오거리,,269839175.43,92678671,
1,2561,마천,,253468351.25,59766922,
1,2716,중계,,243142201.45,130842328,
1,2611,응암,,240498375.91,159218648,
1,314,홍제,,238227911.64,162317598,
1,2750,광명사거리,,235605602.13,189941466,
1,2749,철산,,228846966.66,184668913,
1,416,미아사거리,,215883702.2,269528664,
1,2823,남한산성입구(성남법원.검찰청),,214095899.07,109221632,
1,331,남부터미널(예술의전당),,209156551.59,276384365,
2,213,구의(광진구청),,253085011.18,230911346,
2,326,압구정,,227892489.42,287406681,
2,4107,가양,,212046872.73,98720181,
2,2560,거여,,209602046.57,82324537,
2,4129,봉은사,,183475247.15,135248081,
2,2554,상일동,,178306575.92000002,134070701,
2,2553,고덕,,174606434.02,95925380,
2,4109,등촌,,166628277.6,51467163,
2,2622,망원,,157131800.04999998,140841456,
2,2528,여의나루,,156345624.33,110323443,
3,216,잠실(송파구청),,260884211.79,762155734,
3,2820,장지,,224103669.77,154855045,
3,2819,문정,,179469453.45000002,164574008,
3,2815,잠실(송파구청),,174068740.20000002,151644123,
3,341,경찰병원,,154711473.7,65260295,
3,2550,길동,,151097624.98,79999489,
3,2515,마곡,,137164328.92,79354376,
3,428,삼각지,,136813104.95999998,52166767,
3,2557,방이,,123831956.28,72473083,
3,2817,송파,,120482412.71,74271161,
4,2518,화곡,,240640177.86,266495286,
4,249,신정네거리,,239125569.46,85419751,
4,228,서울대입구(관악구청),,226481265.15,456459609,
4,424,명동,,223023993.25,269018763,
4,231,신대방,,195200972.85,235300612,
4,248,양천구청,,187174444.5,59881157,
4,417,길음,,178836222.14,207888875,
4,2739,남성,,178544655.85,102693202,
4,2626,대흥(서강대앞),,178231405.17,83903865,
4,225,방배,,170169907.48999998,168353562,
5,2534,광화문(세종문화회관),,203631362.42,308591322,
5,154,종로5가,,166010835.2,150549890,
5,240,신촌,,163267181.77,366568106,
5,152,종각,,161161367.39,209572449,
5,329,고속터미널,,135770848.99,481882493,
5,421,동대문,,98425519.35,170485171,
5,2736,고속터미널,,93693814.26,155107277,
5,201,시청,,86970130.91,215360198,
5,2530,공덕,,86103798.05,125289357,
5,2537,동대문역사문화공원,,83250500.50999999,28260881,
