semantic_prompt,hidden_mean,non_hidden_mean,difference_hidden_minus_nonhidden
river_or_waterfront,0.29303473,0.2907697,0.002265036
suburban_peripheral,0.2845081,0.2830144,0.0014937222
green_mountain_area,0.2668951,0.26648942,0.0004056692
industrial_office,0.25819367,0.25781715,0.00037652254
low_density_residential,0.28312707,0.28324988,-0.00012281537
road_oriented,0.2775253,0.27830902,-0.0007837117
transit_hub,0.25983,0.26076895,-0.00093895197
dense_residential,0.2648374,0.265839,-0.0010015965
low_transit_access,0.27667478,0.27780446,-0.0011296868
pedestrian_friendly,0.2615164,0.26311317,-0.0015967786
nightlife_entertainment,0.25293475,0.25481373,-0.0018789768
mixed_use,0.26903856,0.27148327,-0.0024447143
university_area,0.27492258,0.27786398,-0.0029413998
commercial_downtown,0.24600372,0.24895385,-0.002950132
traditional_market,0.22761425,0.23127316,-0.0036589056
