station_id,station_name,mob_vis_cosine_pca4,mobility_cluster,visual_cluster
2740,숭실대입구(살피재),-0.9861667279522053,0,1
433,사당,-0.9616989764257781,3,3
2719,태릉입구,-0.9583268940179658,3,5
2749,철산,-0.9579149015890057,1,2
415,미아(서울사이버대학),-0.9533352964723091,0,2
2722,상봉(시외버스터미널),-0.952129984786938,3,1
2646,태릉입구,-0.9444599037311044,3,5
2546,아차산(어린이대공원후문),-0.9441943860055569,0,1
233,대림(구로구청),-0.9384307383054216,3,5
2619,디지털미디어시티,-0.929988542416337,3,5
318,안국,-0.9203321197231307,0,2
2732,강남구청,-0.9193750794568023,3,3
4101,개화,-0.9167585630339357,4,0
2537,동대문역사문화공원,-0.9090731215732921,3,1
2750,광명사거리,-0.9088749799511721,1,2
2760,굴포천,-0.9067095110363059,5,3
2611,응암,-0.8993221391738545,1,2
201,시청,-0.8932211597857802,3,3
2545,군자(능동),-0.8917545712838958,3,5
238,합정,-0.891445777541836,3,3
2730,뚝섬유원지,-0.8861517894393777,4,0
314,홍제,-0.8826708043959621,1,2
416,미아사거리,-0.8770734006150422,0,5
410,상계,-0.8719586497451306,1,2
2541,왕십리(성동구청),-0.8666548697149137,3,4
2717,하계,-0.866369331491337,0,2
2824,단대오거리,-0.8639230792303757,1,2
337,대청,-0.8581921326592962,3,0
420,혜화,-0.8554073575892259,0,2
208,왕십리(성동구청),-0.8548842211093636,3,1
2511,방화,-0.8525586387066549,4,0
2561,마천,-0.8476561722232978,1,2
227,낙성대,-0.843443546245769,0,2
331,남부터미널(예술의전당),-0.8427734297481034,0,2
2718,공릉(서울과학기술대),-0.8408732000421476,0,1
2811,암사,-0.8375731960555334,0,0
225,방배,-0.8370634741462997,0,2
4116,샛강,-0.8329380042854637,3,3
158,청량리(서울시립대입구),-0.8294699986548053,3,1
2617,새절(신사),-0.8252279485743622,0,2
2536,을지로4가,-0.8213818861365193,3,4
321,충무로,-0.814268226611284,5,3
2734,논현,-0.8117264895078528,3,3
2520,신정(은행정),-0.8082359252892576,3,5
4108,증미,-0.8043002871448847,4,0
2637,동묘앞,-0.7943451496504379,3,4
2821,복정,-0.7934056563824661,4,2
432,총신대입구(이수),-0.789353325722228,0,1
4135,한성백제,-0.7870081079502643,5,0
4118,노들,-0.7835808253686356,3,0
2514,송정,-0.7757508350060836,4,5
429,신용산,-0.7748067994610952,3,3
236,영등포구청,-0.7740345132306303,3,3
155,동대문,-0.770846038149526,3,4
2533,서대문,-0.7690205546242455,0,1
424,명동,-0.7689024509388364,2,2
2517,우장산,-0.7639577880851486,0,5
157,제기동,-0.7591064375382497,3,5
250,용두(동대문구청),-0.7590446379978817,3,1
2641,고려대(종암),-0.7575964579286685,0,1
2818,가락시장,-0.7560889340032034,3,3
310,구파발,-0.7549490540718522,1,2
4133,석촌,-0.7505995234944112,5,3
2814,몽촌토성(평화의문),-0.7429647178881702,3,4
156,신설동,-0.7412977875384887,3,3
204,을지로4가,-0.7412912401668362,3,4
224,서초,-0.7376468985976501,3,5
2816,석촌,-0.7360314600807681,3,3
230,신림,-0.7332522885052988,2,5
2636,신당,-0.7258661467197988,3,3
2625,광흥창(서강),-0.7237283188122847,3,0
425,회현(남대문시장),-0.7225683213879339,0,1
2618,증산(명지대앞),-0.7165598755289992,0,1
240,신촌,-0.7150933399252375,2,5
313,녹번,-0.7119932174471484,1,2
2758,상동,-0.7069164917882769,5,3
203,을지로3가,-0.6916712595728212,3,4
2523,양평,-0.6887854865376274,3,0
4106,양천향교,-0.6859330802984538,4,0
2640,안암(고대병원앞),-0.684038421132259,0,1
2716,중계,-0.6776655376724472,0,2
421,동대문,-0.6744527479897884,3,1
4134,송파나루,-0.6725680815663277,5,3
320,을지로3가,-0.6660584371492512,3,4
2616,구산,-0.6593083093468994,4,2
417,길음,-0.6576698801116903,0,5
2736,고속터미널,-0.6573087938824136,3,4
414,수유(강북구청),-0.6467567650000077,0,5
2547,광나루(장신대),-0.6408547758466953,0,0
4130,종합운동장,-0.6376673086671739,3,0
338,일원,-0.6357317559218059,1,2
151,시청,-0.630964404285115,3,3
2518,화곡,-0.6234562574645759,1,5
4103,공항시장,-0.6219113593017889,3,4
2645,석계,-0.6215114290603874,3,5
159,동묘앞,-0.6170224916267977,3,5
317,경복궁(정부서울청사),-0.6112740022438471,0,1
4105,마곡나루,-0.6097644347704518,3,0
2724,사가정,-0.6059140498136203,0,2
4128,삼성중앙,-0.5976896015308754,3,1
336,학여울,-0.5963621635279963,3,5
431,동작(현충원),-0.5906067878870371,3,0
2715,노원,-0.5876977781026914,3,3
2725,용마산,-0.5864225464521311,4,2
2621,마포구청,-0.5819513497466173,0,0
2526,신길,-0.5773729286954034,3,3
234,신도림,-0.57708607138216,3,3
4111,신목동,-0.5725490295868234,4,0
4115,여의도,-0.5718805444246791,3,4
2823,남한산성입구(성남법원.검찰청),-0.5696379673558757,1,2
4127,선정릉,-0.5568036374427542,3,3
2551,굽은다리(강동구민회관앞),-0.5556946243753902,0,1
229,봉천,-0.5483484912396789,0,5
4709,북한산보국문,-0.5479918618786576,1,2
2825,신흥,-0.5431553756776855,4,2
2553,고덕,-0.5424584293085102,0,0
4102,김포공항,-0.535147996784887,3,4
340,가락시장,-0.5303456544970472,3,3
246,신설동,-0.5302940793009618,3,3
4704,가오리,-0.5207948518722786,4,2
430,이촌(국립중앙박물관),-0.5189653084355919,3,0
2735,반포,-0.5184593960810883,3,4
413,쌍문,-0.5172063362169839,0,5
