priority_rank,station_id,nearest_station,nearest_line,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,quad_signature,reconstruction_label,reconstructed_latent_demand_score,axis_observed_subway_score,hidden_demand_reconstruction_score,hidden_demand_reconstruction_score_norm,axis_mobility_demand_score,axis_hidden_gap_score,axis_temporal_dynamics_score,axis_visual_morphology_score,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share
1,2561,마천,5호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.8426364809819661,0.0734621158956868,0.7691743650862792,1.0,1.0,1.0,0.6678655640485258,0.0906336817226091,253468351.25,59766922,0.6130045307725955,0.4984772738170403
2,2824,단대오거리,8호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.7725166367397993,0.1139176983972931,0.6585989383425062,0.9212346761137288,0.796494601645585,0.9602055102487024,0.7660305664580683,0.208365751454968,269839175.43,92678671,0.6170014051339521,0.4435378622814079
3,249,신정네거리,2호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.6996091912656263,0.1049949323378971,0.5946142589277291,0.8756569727643005,0.6826106985422558,0.8555770440508486,0.6555475949002469,0.4743059692884956,239125569.46,85419751,0.5425260948670856,0.3603671281770421
4,2519,까치산,5호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.8865552268105608,0.3218748880992721,0.5646803387112886,0.8543343788529321,0.956395573320638,0.7948130384743927,1.0,0.5747395919767537,368935521.44,261857667,0.6781251119007279,0.1831055203801684
5,2757,부천시청,7호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.6291400727076324,0.0692149270924231,0.5599251456152092,0.8509471495617229,0.5224895335679764,0.8582106103542266,0.5256877342459401,0.7432958316429825,189524526.42,56311715,0.443622091424271,0.4351262478675028
6,2823,남한산성입구(성남법원.검찰청),8호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.689828118535931,0.1342525375927535,0.5555755809431775,0.8478488583749231,0.8159171226252417,0.832876990670097,0.5644292487178295,0.0156031594348206,214095899.07,109221632,0.4453042667318112,0.4007729411572984
7,2560,거여,5호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.6440945460080575,0.1011902519686731,0.5429042940393844,0.8388228202539413,0.5553094214701543,0.926384215990945,0.5665761798910853,0.4929401637053475,209602046.57,82324537,0.4661641865978613,0.5080543103592082
8,4709,북한산보국문,우이신설선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.5358143097871514,0.036830423919633,0.4989838858675184,0.8075373414025647,0.6163835073934979,0.6600305849767922,0.4504858843229046,0.0333690835129828,173775205.82999998,29966015,0.4332417352075597,0.1833600673226721
9,4107,가양,9호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.595174909325501,0.1213440070458939,0.4738309022796071,0.7896203144703628,0.5781996219534808,0.6620157293775285,0.5717801260123194,0.5512512189958847,212046872.73,98720181,0.4526489811880185,0.1719634998646272
10,248,양천구청,2호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.5389390459917759,0.0736025351565128,0.46533651083526306,0.7835695714342912,0.5051411534464841,0.6134716142303698,0.5147056384368025,0.5531649569590498,187174444.5,59881157,0.4328531971143211,0.122733712453999
11,314,홍제,3호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.6555606851892637,0.1995188421278143,0.4560418430614494,0.776948773855855,0.7310533883548023,0.7957632028833866,0.6382292985437796,0.0,238227911.64,162317598,0.4455647332370832,0.3520344215027683
12,2716,중계,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.609655980152161,0.1608289997178794,0.44882698043428165,0.7718094675166568,0.6088980757302447,0.6804715992459499,0.6461775747987072,0.3629843130232206,243142201.45,130842328,0.4975985742990838,0.1636961299298954
13,2826,수진,8호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.496417907793698,0.0498224193260308,0.44659548846766717,0.7702199263982012,0.4553687912667343,0.6603301929780618,0.4481755671451558,0.3678429005012098,163953600.81,40535367,0.3935806809513338,0.2123493109513731
14,2750,광명사거리,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.6769946696814546,0.2334744872953647,0.4435201823860899,0.7680293178091324,0.8112481048629052,0.707617055297124,0.6316233097782931,0.087040967132076,235605602.13,189941466,0.4044886096444441,0.2663429347294357
15,2820,장지,8호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.6232274780378504,0.1903457675347834,0.432881710503067,0.7604512988206732,0.5886593998600202,0.7106083964362883,0.6159393274703231,0.5749078349770453,224103669.77,154855045,0.41638559992996,0.2616778461066073
16,4138,중앙보훈병원,9호선(연장),Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.5050746489685994,0.073585229052664,0.4314894199159354,0.7594595394192527,0.4999438511660401,0.8265350949151173,0.2990150687719091,0.1366312846072026,111209893.78,59867078,0.2266004414994352,0.5501715076811217
