station_id,nearest_station,nearest_line,reconstruction_label,hidden_demand_reconstruction_score_norm,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,sem_dense_residential,sem_low_density_residential,sem_commercial_downtown,sem_mixed_use,sem_suburban_peripheral,sem_transit_hub,sem_low_transit_access,sem_road_oriented,sem_pedestrian_friendly,sem_green_mountain_area,sem_river_or_waterfront,sem_industrial_office,sem_university_area,sem_nightlife_entertainment,sem_traditional_market,top_semantic_1,top_semantic_1_score,top_semantic_3
2561,마천,5호선,High Priority Hidden Demand,1.0,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26058036,0.28698123,0.23419356,0.26537034,0.29037142,0.25393623,0.2699685,0.26519305,0.25566664,0.28852448,0.28476512,0.25017303,0.26810077,0.24859734,0.20995222,suburban_peripheral,0.29037142,suburban_peripheral; green_mountain_area; low_density_residential
2824,단대오거리,8호선,High Priority Hidden Demand,0.9212346761137288,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26630664,0.2867027,0.24836445,0.26836294,0.28767496,0.24917331,0.2749884,0.27747995,0.2555979,0.2829437,0.28198338,0.27118883,0.28655288,0.2644822,0.23697826,suburban_peripheral,0.28767496,suburban_peripheral; low_density_residential; university_area
249,신정네거리,2호선,High Priority Hidden Demand,0.8756569727643005,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.28166628,0.30441666,0.24358934,0.27256864,0.3026784,0.24173148,0.27341932,0.27340603,0.27927026,0.25992215,0.28711423,0.24997042,0.28643578,0.24460012,0.22508174,low_density_residential,0.30441666,low_density_residential; suburban_peripheral; river_or_waterfront
2519,까치산,5호선,Potential Hidden Demand,0.8543343788529321,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2732649,0.296813,0.2573805,0.27364725,0.2939334,0.2609113,0.28517088,0.27824146,0.27282876,0.26303953,0.28703308,0.2530655,0.2838116,0.25420776,0.2343456,low_density_residential,0.296813,low_density_residential; suburban_peripheral; river_or_waterfront
2757,부천시청,7호선,High Priority Hidden Demand,0.8509471495617229,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.27415085,0.2885512,0.25751585,0.27322233,0.290304,0.26363435,0.2789981,0.2883833,0.2621966,0.26076293,0.29539785,0.264586,0.28148022,0.2588089,0.23711167,river_or_waterfront,0.29539785,river_or_waterfront; suburban_peripheral; low_density_residential
2823,남한산성입구(성남법원.검찰청),8호선,Potential Hidden Demand,0.8478488583749231,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2338657,0.2613051,0.21307293,0.23943895,0.27396095,0.23954098,0.25231886,0.24798018,0.23534262,0.28526428,0.26422492,0.24306151,0.25200227,0.24042383,0.20113134,green_mountain_area,0.28526428,green_mountain_area; suburban_peripheral; river_or_waterfront
2560,거여,5호선,High Priority Hidden Demand,0.8388228202539413,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.27237165,0.29670024,0.25059253,0.27609345,0.29873022,0.2689642,0.2888974,0.28779864,0.27458984,0.26742834,0.29848588,0.26193765,0.27837414,0.24923934,0.22848009,suburban_peripheral,0.29873022,suburban_peripheral; river_or_waterfront; low_density_residential
4709,북한산보국문,우이신설선,High Priority Hidden Demand,0.8075373414025647,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.24338302,0.26637137,0.21872097,0.24888618,0.27896094,0.24674278,0.26083082,0.2483589,0.23409323,0.2935333,0.2753517,0.24615458,0.2578341,0.24550459,0.20456415,green_mountain_area,0.2935333,green_mountain_area; suburban_peripheral; river_or_waterfront
4107,가양,9호선,Potential Hidden Demand,0.7896203144703628,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.23210326,0.25543803,0.21595204,0.24622662,0.2706282,0.24944812,0.2643539,0.2564923,0.24180385,0.25878724,0.31644148,0.2459521,0.24965897,0.23431343,0.20135334,river_or_waterfront,0.31644148,river_or_waterfront; suburban_peripheral; low_transit_access
248,양천구청,2호선,High Priority Hidden Demand,0.7835695714342912,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2663496,0.28286135,0.24294044,0.27285838,0.2876502,0.25866216,0.27685428,0.2828805,0.25960308,0.2640791,0.29806936,0.26174644,0.27943712,0.24310069,0.22063634,river_or_waterfront,0.29806936,river_or_waterfront; suburban_peripheral; road_oriented
314,홍제,3호선,Potential Hidden Demand,0.776948773855855,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.25444883,0.27653596,0.22784743,0.2584153,0.28890455,0.25017053,0.27049217,0.26026967,0.24908036,0.28776968,0.27632976,0.24790043,0.26749566,0.24863195,0.21039143,suburban_peripheral,0.28890455,suburban_peripheral; green_mountain_area; low_density_residential
